x,y,z
8.0,-12.0,14.031721317465928
8.0,-11.0,14.330294590653718
8.0,-10.0,14.096192798328516
8.0,-9.0,12.729205750611214
8.0,-8.0,12.340478663908167
8.0,-7.0,13.129764638822593
8.0,-6.0,13.106610974263365
8.0,-5.0,12.770522697811737
8.0,-4.0,13.325314356255035
8.0,-3.0,13.640294878532094
8.0,-2.0,13.212171958646902
8.0,-1.0,13.121728751537498
8.0,0.0,13.163431122595894
8.0,1.0,12.52576196845885
8.0,2.0,11.83686369139356
8.0,3.0,11.913123772093263
8.0,4.0,12.530202850775925
8.0,5.0,13.071230972042525
8.0,6.0,13.185646305944273
8.0,7.0,13.159926672256637
8.0,8.0,13.51232810917519
8.0,9.0,13.983134337284685
8.0,10.0,13.86337669983472
8.0,11.0,13.05733284976341
8.0,12.0,12.172989052881604
8.0,13.0,12.026330665580124
8.0,14.0,12.744461231607943
8.0,15.0,13.401424283259173
9.0,-15.0,13.75994090281539
9.0,-14.0,13.514669847061239
9.0,-13.0,13.980556306063903
9.0,-12.0,14.042437613088243
9.0,-11.0,14.141837046564172
9.0,-10.0,13.447778217867043
9.0,-9.0,12.513266145461285
9.0,-8.0,13.0629972570376
9.0,-7.0,14.06698273948318
9.0,-6.0,13.949191975645732
9.0,-5.0,13.61208751258178
9.0,-4.0,13.719997220943917
9.0,-3.0,13.69915634927382
9.0,-2.0,13.70095451980208
9.0,-1.0,13.85438912791813
9.0,0.0,13.577629365747873
9.0,1.0,12.960983142229532
9.0,2.0,12.606078534805254
9.0,3.0,12.760274995958296
9.0,4.0,13.374803925735922
9.0,5.0,13.854261800506961
9.0,6.0,13.667678150647786
9.0,7.0,13.317727827256558
9.0,8.0,13.23014738780598
9.0,9.0,13.150954788255264
9.0,10.0,13.13636560288539
9.0,11.0,13.012321721697095
9.0,12.0,12.272998046618572
9.0,13.0,11.689101952371058
9.0,14.0,12.130660819935368
9.0,15.0,12.79091036771542
10.0,-15.0,13.31079771058261
10.0,-14.0,12.604002940293357
10.0,-13.0,13.5260106241535
10.0,-12.0,13.827249381707658
10.0,-11.0,13.154682399739027
10.0,-10.0,12.015394303600653
10.0,-9.0,11.768149447711112
10.0,-8.0,12.98064938868656
10.0,-7.0,13.95302427059748
10.0,-6.0,13.765587579252424
10.0,-5.0,13.51644550931852
10.0,-4.0,13.50566459545119
10.0,-3.0,13.298455948061857
10.0,-2.0,13.245783856900673
10.0,-1.0,13.346678008440364
10.0,0.0,13.202145053149739
10.0,1.0,13.126792884922066
10.0,2.0,13.256577054579399
10.0,3.0,13.380668079134008
10.0,4.0,13.799505597461906
10.0,5.0,14.36459757896567
10.0,6.0,14.344134111476212
10.0,7.0,13.847119218936628
10.0,8.0,13.329125267443342
10.0,9.0,12.896370863795823
10.0,10.0,12.87406828364865
10.0,11.0,13.083617583493949
10.0,12.0,12.79045905000564
10.0,13.0,12.275929379924339
10.0,14.0,11.993822818853575
10.0,15.0,11.719039038647681
11.0,-15.0,12.30415242750692
11.0,-14.0,11.443729244683595
11.0,-13.0,12.990407648375488
11.0,-12.0,13.535132813211366
11.0,-11.0,12.71205931725533
11.0,-10.0,11.706129740495971
11.0,-9.0,11.553766971651346
11.0,-8.0,12.528271672921598
11.0,-7.0,13.394510766375035
11.0,-6.0,13.338509289768632
11.0,-5.0,13.150571156958637
